id;calories;proteins;fat;carbohydrate;name;composition;origin
937;284.0;12.0;14.4;13.6;Oncom Hitam Goreng ;sayuran;Jawa Barat
938;306.7;9.0;18.0;27.0;Oncom Hitam Goreng bertepung ;sayuran;Jawa Barat
939;351.0;11.0;5.3;65.9;Oncom kacang hijau + singkong;sayuran;Jawa Barat
940;132.0;12.7;3.8;13.7;Oncom Kacang Tanah pepes;Kacang, sayuran;Jawa Barat
941;187.0;13.0;6.0;22.6;Oncom Kedele;Kedelai, sayuran;Jawa Barat
942;368.0;6.8;32.0;13.2;Oncom Merah Goreng ;sayuran;Jawa Barat
943;320.0;7.3;18.7;31.0;Oncom Merah Goreng bertepung ;sayuran;Jawa Barat
944;40.0;2.0;2.0;3.0;Oncom Merah Sayur (tumis) ;sayuran;Jawa Barat
945;76.0;5.2;1.8;10.6;Oncom pepes;sayuran;Jawa Barat
946;288.6;8.3;8.9;44.3;Onde-onde ;sayuran;Jawa Timur
947;115.0;1.5;6.0;14.0;Ongol-ongol ;sayuran;Jawa Tengah
949;940.0;36.0;42.0;104.0;Opak Singkong ;sayuran;Jawa Barat
964;307.0;4.5;13.3;42.4;Pastel;Gandum;DKI Jakarta
982;76.0;5.2;1.8;10.6;Pepea oncom ampas tahu;Kedelai, sayuran;Jawa Barat
984;142.0;10.4;2.0;22.0;Pete Segar;sayuran;Jawa Barat
986;161.0;20.0;0.2;24.0;Petis Ikan;Ikan;Jawa Timur
987;220.0;15.0;0.1;40.0;Petis Udang;Seafood;Jawa Timur
988;345.0;23.8;1.4;59.3;Petis udang kering;Seafood;Jawa Timur
989;220.0;15.0;0.9;38.0;Petis udang pasta;Seafood, Gandum;Jawa Timur
1018;33.0;4.5;0.4;2.8;Pucuk lumai/daun leunca segar;sayuran;Jawa Barat
1026;200.0;1.0;2.4;43.8;Putu Mayang ;sayuran;DI Yogyakarta
1036;60.0;5.4;2.5;4.0;Rawon masakan;daging sapi;Jawa Timur
1042;451.0;11.2;20.2;59.7;Rempeyek kacang tolo;Kacang, sayuran;Jawa Barat
1043;497.0;17.0;27.6;50.8;Rempeyek kacang uci;Kacang;Jawa Tengah
1047;335.0;5.3;3.5;70.5;Risoles ;Gandum;DKI Jakarta
1048;341.0;5.5;16.2;43.3;Roti boong;Gandum;Jawa Tengah
1049;350.0;7.5;2.0;75.5;Roti Gambang ;Gandum;DKI Jakarta
1052;153.0;11.3;8.4;8.0;Rujak cingur;sayuran;Jawa Timur
1070;87.0;0.8;0.4;20.1;Salak pondoh segar;sayuran;DI Yogyakarta
1071;281.0;2.4;0.7;66.1;Sale pisang siam;sayuran;Jawa Timur
1079;301.0;55.0;9.0;0.0;Sapi daging dendeng mentah;daging sapi;Jawa Timur
1099;283.0;12.1;16.8;20.9;Sate Bandeng;Ikan;Banten
1100;110.0;15.5;0.5;11.5;Sate Kulit ;daging sapi;Jawa Barat
1103;126.7;14.0;7.3;1.3;Sate Usus ;daging sapi;Jawa Timur
1112;29.0;0.7;0.6;5.0;Sayur asem;sayuran;DKI Jakarta
1119;27.0;1.3;2.0;1.0;Sayur sop;sayuran;DKI Jakarta
1127;192.5;4.5;6.0;30.3;Semur Jengkol ;sayuran;DKI Jakarta
1132;478.0;2.5;21.2;69.2;Serimping talas kebumen;sayuran;Jawa Tengah
1139;173.0;0.5;0.1;42.5;Singkong tape;sayuran;Jawa Barat
1140;95.3;4.4;2.2;14.4;Siomay ;Ikan;DKI Jakarta
1143;71.0;7.5;3.6;2.2;Sop buntut masakan;daging sapi;DKI Jakarta
1151;42.0;3.9;1.7;2.8;Soto bandung masakan;daging sapi;Jawa Barat
1153;135.0;2.5;8.8;11.5;Soto betawi masakan;daging sapi;DKI Jakarta
1154;127.5;2.6;9.4;8.3;Soto dengan Daging;daging sapi;DKI Jakarta
1156;38.0;2.6;2.3;1.8;Soto kudus masakan;sayuran;Jawa Tengah
1157;60.0;3.5;4.5;1.3;Soto madura masakan;daging sapi, sayuran;Jawa Timur
1159;94.0;3.0;6.8;5.1;Soto pekalongan masakan;sayuran;Jawa Tengah
1160;75.0;3.6;5.2;3.5;Soto pemalang masakan;sayuran;Jawa Tengah
1161;80.0;3.2;3.5;9.0;Soto sukaraja masakan;sayuran;Jawa Barat
1162;86.0;2.3;8.5;0.0;Soto sulung masakan;sayuran;Jawa Timur
1185;68.0;7.8;4.6;1.6;Tahu;Kedelai;Jawa Timur
1186;115.0;9.7;8.5;2.5;Tahu goreng;Kedelai;Jawa Timur
1187;328.0;12.6;19.9;24.6;Tahu telur;Telur, Kedelai;Jawa Timur
1189;120.0;1.5;0.3;28.2;Talas bogor kukus;sayuran;Jawa Barat
1195;88.0;3.2;2.1;14.0;Taoge goreng;sayuran;Jawa Timur
1196;76.0;9.0;2.6;6.4;Taoge kacang kedelai segar;Kedelai, sayuran;Jawa Timur
1197;28.0;3.0;0.8;4.0;Taoge seduh;sayuran;Jawa Timur
1198;34.0;3.7;1.2;4.3;Taoge segar;sayuran;Jawa Timur
1202;172.0;3.0;0.5;37.5;Tapai ketan putih;sayuran;DI Yogyakarta
1203;169.0;1.4;0.3;40.2;Tapai singkong;sayuran;Jawa Timur
1231;73.0;5.7;1.3;4.2;Tempe Gembus;Kedelai;Jawa Tengah
1232;76.0;6.8;0.7;10.6;Tempe gembus yogya;Kedelai;DI Yogyakarta
1233;328.0;18.4;23.2;12.8;Tempe Goreng ;Kedelai;Jawa Timur
1236;143.0;12.0;5.5;11.4;Tempe kedelai + jagung;Kedelai, sayuran;Jawa Tengah
1237;350.0;24.5;26.6;10.4;Tempe kedelai murni goreng;Kedelai;Jawa Timur
1238;201.0;20.8;8.8;13.5;Tempe kedelai murni mentah;Kedelai;Jawa Timur
1239;141.0;10.2;1.3;23.2;Tempe koro benguk;Kedelai, sayuran;Jawa Tengah
1242;150.0;14.0;7.7;9.1;Tempe pasar segar;Kedelai, sayuran;Jawa Timur
1243;336.0;20.0;28.0;7.8;Tempe pasar goreng;Kedelai;Jawa Timur
1244;240.0;6.0;2.7;49.3;Tempe Sayur ;Kedelai, sayuran;Jawa Timur
1294;353.0;2.4;1.1;83.4;Tiwul  ;sayuran;Jawa Tengah
1295;395.0;3.2;8.5;76.5;Tiwul Instan;sayuran;Jawa Tengah
1296;392.0;5.4;28.5;28.4;Toge -Tahu makanan;Kedelai, sayuran;Jawa Timur
1297;93.6;4.4;1.8;15.1;Toge Goreng ;sayuran;Jawa Timur
1298;23.0;2.9;0.2;4.1;Toge kacang ijo;sayuran;Jawa Timur
1299;35.0;5.0;0.2;5.8;Toge kacang tunggak;sayuran;Jawa Timur
1300;67.0;9.0;2.6;6.4;Toge kedelai;Kedelai, sayuran;Jawa Timur
1301;28.0;3.0;0.8;4.0;Toge seduh;sayuran;Jawa Timur
1306;189.0;11.3;15.7;0.6;Tumis bandeng;Ikan;Jawa Timur
1308;186.0;1.9;0.2;44.3;Ubi Cilembu;sayuran;Jawa Barat
1320;82.0;5.8;1.3;11.7;Uceng/ bunga melinjo segar;sayuran;Jawa Barat
1334;303.0;6.3;2.7;63.3;Wajit camilan;sayuran;DI Yogyakarta
1336;424.0;1.3;10.7;80.7;Widaran;sayuran;Jawa Tengah
1338;355.0;3.2;15.1;51.4;Wingko babat;sayuran;Jawa Tengah
1344;254.0;3.0;1.1;58.1;Yangko;sayuran;DI Yogyakarta
